dut_id:56100DLCQ0002T result:PASS time:30.857 device_config: G950-15970-04 station_id: MT5_FVN-E1F3-G01_FATP-AUDIO_BJ25A-01
phase,measurement,value,low_limit,high_limit,low_limit2,high_limit2
init_test_thread,Battery_Capacity,85.0,30.0 , 100.0,30.0 , 100.0
init_test_thread,speaker_cal,true,'x' is True
initial_dut_temperature,battery_temp,26.2,-inf , +inf,-inf , +inf
aow_info,connection_type,"""WIFI""",'x' is not None
aow_info,ssid,"""MT-G02-AUDIO-01""",'x' is not None
aow_info,freq,"""5700""",'x' is not None
aow_info,rssi,"""-26""",'x' is not None
DeviceInit,connection_type,"""WIFI""",'x' is not None
mic_1_sens_functional,mic-1_sens_functional,-37.619,-90.0 , +inf,-90.0 , +inf
mic_1_sens,mic-1_sens,-37.619,-39.5 , -34.5,-39.5 , -34.5
mic_1_fr,mic-1_fr_00100.0,-38.505,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00106.0,-38.294,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00112.0,-38.123,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00118.0,-38.061,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00125.0,-37.99,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00132.0,-37.965,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00140.0,-38.005,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00150.0,-38.041,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00160.0,-38.035,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00170.0,-38.013,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00180.0,-37.968,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00190.0,-37.925,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00200.0,-37.884,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00212.0,-37.841,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00224.0,-37.802,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00236.0,-37.77,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00250.0,-37.739,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00265.0,-37.711,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00280.0,-37.692,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00300.0,-37.694,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00315.0,-37.697,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00335.0,-37.665,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00355.0,-37.633,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00375.0,-37.626,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00400.0,-37.623,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00425.0,-37.609,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00450.0,-37.592,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00475.0,-37.578,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00500.0,-37.572,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00530.0,-37.577,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00560.0,-37.574,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00600.0,-37.551,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00630.0,-37.535,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00670.0,-37.515,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00710.0,-37.506,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00750.0,-37.484,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00800.0,-37.491,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00850.0,-37.525,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00900.0,-37.568,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00950.0,-37.566,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01000.0,-37.619,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01060.0,-37.572,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01120.0,-37.503,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01180.0,-37.469,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01250.0,-37.481,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01320.0,-37.58,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01400.0,-37.582,-inf , +inf,-inf , +inf
