dut_id:56100DLCQ0001X result:PASS time:30.544 device_config: G950-15970-04 station_id: MT5_FVN-E1F3-G01_FATP-AUDIO_BJ25A-01
phase,measurement,value,low_limit,high_limit,low_limit2,high_limit2
init_test_thread,Battery_Capacity,77.0,30.0 , 100.0,30.0 , 100.0
init_test_thread,speaker_cal,true,'x' is True
initial_dut_temperature,battery_temp,29.6,-inf , +inf,-inf , +inf
aow_info,connection_type,"""WIFI""",'x' is not None
aow_info,ssid,"""MT-G02-AUDIO-01""",'x' is not None
aow_info,freq,"""5700""",'x' is not None
aow_info,rssi,"""-27""",'x' is not None
DeviceInit,connection_type,"""WIFI""",'x' is not None
mic_1_sens_functional,mic-1_sens_functional,-37.107,-90.0 , +inf,-90.0 , +inf
mic_1_sens,mic-1_sens,-37.107,-39.5 , -34.5,-39.5 , -34.5
mic_1_fr,mic-1_fr_00100.0,-37.957,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00106.0,-37.748,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00112.0,-37.58,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00118.0,-37.521,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00125.0,-37.452,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00132.0,-37.429,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00140.0,-37.469,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00150.0,-37.504,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00160.0,-37.498,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00170.0,-37.478,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00180.0,-37.436,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00190.0,-37.397,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00200.0,-37.36,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00212.0,-37.32,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00224.0,-37.283,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00236.0,-37.251,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00250.0,-37.22,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00265.0,-37.19,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00280.0,-37.171,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00300.0,-37.173,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00315.0,-37.176,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00335.0,-37.144,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00355.0,-37.112,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00375.0,-37.106,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00400.0,-37.103,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00425.0,-37.093,-inf , +inf,-inf , +inf
