dut_id:56100DLCQ0001X result:PASS time:29.658 device_config: G950-15970-04 station_id: MT5_FVN-E1F3-G01_FATP-AUDIO_BJ25A-03
phase,measurement,value,low_limit,high_limit,low_limit2,high_limit2
init_test_thread,Battery_Capacity,76.0,30.0 , 100.0,30.0 , 100.0
init_test_thread,speaker_cal,true,'x' is True
initial_dut_temperature,battery_temp,28.2,-inf , +inf,-inf , +inf
aow_info,connection_type,"""WIFI""",'x' is not None
aow_info,ssid,"""MT-G02-AUDIO-03""",'x' is not None
aow_info,freq,"""5540""",'x' is not None
aow_info,rssi,"""-26""",'x' is not None
DeviceInit,connection_type,"""WIFI""",'x' is not None
mic_1_sens_functional,mic-1_sens_functional,-37.755,-90.0 , +inf,-90.0 , +inf
mic_1_sens,mic-1_sens,-37.755,-39.5 , -34.5,-39.5 , -34.5
mic_1_fr,mic-1_fr_00100.0,-38.356,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00106.0,-38.283,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00112.0,-38.213,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00118.0,-38.147,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00125.0,-38.071,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00132.0,-38.028,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00140.0,-38.025,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00150.0,-38.034,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00160.0,-38.077,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00170.0,-38.096,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00180.0,-38.08,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00190.0,-38.045,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00200.0,-37.996,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00212.0,-37.943,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00224.0,-37.906,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00236.0,-37.907,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00250.0,-37.927,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00265.0,-37.926,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00280.0,-37.886,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00300.0,-37.812,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00315.0,-37.788,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00335.0,-37.799,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00355.0,-37.792,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00375.0,-37.764,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00400.0,-37.759,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00425.0,-37.759,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00450.0,-37.735,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00475.0,-37.733,-inf , +inf,-inf , +inf
