dut_id:56100DLCQ0002T result:PASS time:29.262 device_config: G950-15970-04 station_id: MT5_FVN-E1F3-G01_FATP-AUDIO_BJ25A-03
phase,measurement,value,low_limit,high_limit,low_limit2,high_limit2
init_test_thread,Battery_Capacity,86.0,30.0 , 100.0,30.0 , 100.0
init_test_thread,speaker_cal,true,'x' is True
initial_dut_temperature,battery_temp,26.2,-inf , +inf,-inf , +inf
aow_info,connection_type,"""WIFI""",'x' is not None
aow_info,ssid,"""MT-G02-AUDIO-03""",'x' is not None
aow_info,freq,"""5540""",'x' is not None
aow_info,rssi,"""-27""",'x' is not None
DeviceInit,connection_type,"""WIFI""",'x' is not None
mic_1_sens_functional,mic-1_sens_functional,-38.295,-90.0 , +inf,-90.0 , +inf
mic_1_sens,mic-1_sens,-38.295,-39.5 , -34.5,-39.5 , -34.5
mic_1_fr,mic-1_fr_00100.0,-38.928,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00106.0,-38.855,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00112.0,-38.783,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00118.0,-38.714,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00125.0,-38.635,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00132.0,-38.59,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00140.0,-38.586,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00150.0,-38.594,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00160.0,-38.636,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00170.0,-38.652,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00180.0,-38.632,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00190.0,-38.593,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00200.0,-38.54,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00212.0,-38.484,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00224.0,-38.445,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00236.0,-38.448,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00250.0,-38.471,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00265.0,-38.472,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00280.0,-38.433,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00300.0,-38.357,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00315.0,-38.331,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00335.0,-38.342,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00355.0,-38.334,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00375.0,-38.306,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00400.0,-38.3,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00425.0,-38.298,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00450.0,-38.273,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00475.0,-38.27,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00500.0,-38.266,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00530.0,-38.253,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00560.0,-38.257,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00600.0,-38.263,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00630.0,-38.256,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00670.0,-38.251,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00710.0,-38.241,-inf , +inf,-inf , +inf
